,port-name,country,vessel_type_main,count,count_max,utilization_count,dwt,dwt_max,utilization_dwt,tat_median,tat_mean,id,handling_base,congestion,handling
4157,Portovecchio Di Piombino,Italy,Container,0.07692307692307693,1,0.07692307692307693,2013.8505489850427,59352.0,0.033930626583519384,59.533750000000005,80.9660763888889,port1013,0.3000930693809965,1.0000781278071005,0.3001165149944333
4158,Portovecchio Di Piombino,Italy,Dry bulk,0.5865384615384616,3,0.1955128205128205,17421.82305666727,106606.0,0.1634225377245865,96.85444444444444,112.87472222222218,port1013,0.301898330788139,1.0087290271899954,0.30453360952620284
4159,Portovecchio Di Piombino,Italy,General cargo,4.288461538461538,10,0.4288461538461538,27954.440355350882,86681.0,0.322497898678498,48.23347222222223,60.57457087693069,port1013,0.3055689085606587,1.0670827199551272,0.32606730208062723
4160,Portovecchio Di Piombino,Italy,RoRo,0.18269230769230768,2,0.09134615384615384,1712.451923076923,21013.0,0.08149488045861719,18.50777777777777,104.04083333333335,port1013,0.2946035924316265,1.0010824827311737,0.29492249573297546
4161,Portovecchio Di Piombino,Italy,Tanker,0.8076923076923077,3,0.2692307692307692,7474.478006599267,306999.0,0.024346913203623685,34.67791666666669,34.846504629629614,port1013,0.2841308591018346,1.0000288643457558,0.2841390603531916
4162,Portsmouth Harbour,United Kingdom,Container,1.3557692307692308,4,0.3389423076923077,32424.725195589122,87583.0,0.37021711057612916,19.801388888888887,23.667907801418444,port1014,0.2983927281614125,1.1014844392918455,0.3286749468676375
4163,Portsmouth Harbour,United Kingdom,Dry bulk,0.14423076923076922,1,0.14423076923076922,15461.421105311365,279102.7348380952,0.055396881418164484,40.326388888888886,36.000129629629626,port1014,0.3264960503991629,1.000340005502673,0.32660706085289964
4164,Portsmouth Harbour,United Kingdom,General cargo,4.951923076923077,9,0.5502136752136751,34366.57910138541,72169.14251666667,0.4761949207509127,24.384166666666665,32.61312297734627,port1014,0.3159925680331621,1.2159654467103116,0.3842360441455825
4165,Portsmouth Harbour,United Kingdom,RoRo,1.1346153846153846,3,0.3782051282051282,6035.75,16527.0,0.3652054214315968,31.03694444444449,38.17900188323917,port1014,0.2947329867446349,1.097418546052226,0.32344544578692724
4166,Portsmouth Harbour,United Kingdom,Tanker,3.1923076923076925,7,0.4560439560439561,18866.971153846152,52984.0,0.3560880860985609,23.14194444444456,38.587620481927694,port1014,0.2792313628224122,1.0903030306536576,0.30444680113882705
4167,Porvoo,Finland,Dry bulk,0.019230769230769232,1,0.019230769230769232,2095.6230994963375,113553.0,0.018455021879618658,33.39777777777778,33.39777777777778,port1015,0.3055517423686595,1.0000125711118042,0.30555558349377476
4168,Porvoo,Finland,General cargo,1.0,3,0.3333333333333333,3598.9336674219717,13878.013759864814,0.2593262789398639,32.58861111111111,40.67257745726496,port1015,0.3154208277676436,1.034879446210509,0.32642253156343937
4169,Porvoo,Finland,RoRo,0.009615384615384616,1,0.009615384615384616,485.63461538461536,50506.0,0.009615384615384614,89.46722222222222,89.46722222222222,port1015,0.3141777190435574,1.0000017779927173,0.31417827764925377
4170,Porvoo,Finland,Tanker,22.576923076923077,29,0.7785145888594165,549271.6948653868,938869.0,0.5850355000169212,25.026249999999948,28.632287052810902,port1015,0.3093589874400403,1.4004761483833164,0.4332498831977904
4171,Poti,Georgia,Container,4.480769230769231,8,0.5600961538461539,77168.60154624953,144065.3263904762,0.5356500657006872,30.52833333333334,32.47344599427753,port1016,0.2914498668391029,1.3073784973796745,0.3810352889696126
4172,Poti,Georgia,Dry bulk,1.1538461538461537,4,0.28846153846153844,32830.69698498376,108634.0,0.3022138279450611,76.05319444444444,123.89602083333335,port1016,0.3221132537017175,1.0552043106519324,0.33989529382417183
4173,Poti,Georgia,General cargo,8.778846153846153,15,0.5852564102564102,80966.89039303595,699569.0,0.11573824796844336,44.25833333333334,58.528800048679535,port1016,0.3351252238091693,1.0031007068379445,0.3361643488822021
