port-name,country,Industries,Import_capacity,Export_capacity,Import_sector,Export_sector,import_correction,export_correction
Acajutla,El Salvador,10,1705.8524412074853,200.7138612408435,53670.71159757357,6314.998589601015,0.031783674753524345,0.031783674753524324
Acajutla,El Salvador,11,1764.947471720898,325.19441354055255,19692.779090128715,3628.42625619555,0.0896240933614902,0.08962409336149026
Acapulco,Mexico,1,3555.872238638585,3900.4764895444137,4006.3204911910566,4394.5782741208905,0.8875655970252754,0.8875655970252757
Acapulco,Mexico,2,330.44053719159166,251.40054684482598,1358.2025746549186,1033.3262162575425,0.24329252746082253,0.24329252746082253
Acapulco,Mexico,3,32920.79808377383,2129.5720958280763,17290.04012329359,1118.453656215038,1.9040324862764242,1.9040324862764244
Acapulco,Mexico,4,14883.804237595063,3070.97481227096,24543.982568663097,5064.159072369042,0.6064135759531619,0.6064135759531623
Acapulco,Mexico,5,274.14833567144495,20.68491162243088,7845.105176443741,591.9251957009645,0.03494514471196917,0.034945144711969175
Acapulco,Mexico,6,12.705976912578585,251.86741096823982,184.44192721325237,3656.146316085721,0.06888876680348223,0.06888876680348222
Acapulco,Mexico,7,99343.28894814894,19968.16654985009,147248.202540983,29597.133974888347,0.6746655458867087,0.6746655458867085
Acapulco,Mexico,8,2298.886141641187,980.9896815988078,15573.107252302856,6645.417208019834,0.14761897573788568,0.14761897573788565
Acapulco,Mexico,9,140.35292022867174,572.5884935645709,1387.434850036218,5660.2258749364855,0.10116000778343424,0.10116000778343426
Acapulco,Mexico,10,448.3892945513278,1764.6135210209698,6822.389476623177,26849.170714851505,0.06572320388446416,0.06572320388446416
Acapulco,Mexico,11,110.88435997145655,14.60305903401355,3383.069715926112,445.53773670668863,0.032776256264970896,0.03277625626497088
Ad Dakhla,Western Sahara,1,4240.18024898119,2131.0994449999366,2696.6502315784614,1355.326772548556,1.5723879201416626,1.572387920141663
Ad Dakhla,Western Sahara,2,258.3163782995075,35.544400567421576,546.3406259919376,75.17661165873626,0.47281195285543254,0.4728119528554326
Ad Dakhla,Western Sahara,3,51357.845120767815,5582.704942379132,10377.094454158805,1128.0118229364948,4.949154635494837,4.949154635494835
Ad Dakhla,Western Sahara,4,6991.579194881408,2173.3442740348914,5761.245728142754,1790.8930251028105,1.2135533745295177,1.2135533745295175
Ad Dakhla,Western Sahara,5,153.08237018907317,38.743478174786894,1779.841610468426,450.4584982881528,0.08600898489432682,0.08600898489432686
Ad Dakhla,Western Sahara,6,89.40445001645486,49.910503099559286,1714.1314706921908,956.9228832042327,0.05215728871738879,0.0521572887173888
Ad Dakhla,Western Sahara,7,50893.38921910998,6394.169361729836,44373.54645071783,5575.026060161409,1.1469308470900161,1.1469308470900155
Ad Dakhla,Western Sahara,8,1364.012919420626,238.96088243449822,7412.221310298694,1298.5441119290222,0.18402215237764666,0.18402215237764655
Ad Dakhla,Western Sahara,9,275.8425854633935,65.89991375946246,2733.7066495492654,653.0936191245685,0.10090423766166517,0.10090423766166513
Ad Dakhla,Western Sahara,10,84.96963831126324,16.26513556768742,2389.6331734829782,457.4305398519227,0.035557607441236205,0.035557607441236205
Ad Dakhla,Western Sahara,11,53.92491837624559,17.525535652654252,692.009833553208,224.90238975060748,0.0779250752830514,0.07792507528305138
Aden,Yemen,1,2376036.129696689,57544.547288684196,548615.5597966879,13286.765141933472,4.330967445723244,4.33096744572324
Aden,Yemen,2,1862.5256826300724,66.64443988840988,9003.232227143659,322.15146054576144,0.20687300245513854,0.20687300245513887
Aden,Yemen,3,2159618.7398474617,166694.80373620248,619922.3031488288,47850.032391544984,3.4836925996659747,3.4836925996659756
Aden,Yemen,4,1343884.5585262496,28245.199236643803,395202.2408397576,8306.194129894837,3.4004983263016304,3.400498326301628
Aden,Yemen,5,30479.650051430337,433.8231023612053,54609.867793110934,777.2734340967617,0.5581344779464081,0.5581344779464048
Aden,Yemen,6,123437.82026246116,2425.6133202891237,248117.2300621142,4875.624480019521,0.49749797799838197,0.4974979779983819
Aden,Yemen,7,2756442.3008905556,118823.84614902426,888952.0433318214,38320.66457425733,3.1007772821572233,3.100777282157224
Aden,Yemen,8,202644.8763610536,9425.913269676736,192194.108719928,8939.8016484222,1.054376108147804,1.0543761081478054
Aden,Yemen,9,63287.10302325989,2159.867317908135,102701.55894945569,3505.007024758571,0.6162233920364001,0.6162233920363995
Aden,Yemen,10,8178.767326941662,529.6027483471797,47193.11903009567,3055.9135065601963,0.17330423364740852,0.17330423364740852
Aden,Yemen,11,19260.127609325962,151.7041590395943,34937.817053216764,275.1909157741559,0.5512687750350637,0.5512687750350563
Agadir,Morocco,1,72453.30873332455,80968.07765041551,145416.49829601785,162505.95771988598,0.49824682606394904,0.49824682606394916
Agadir,Morocco,2,1386.458971097146,721.0872216897102,3691.9809662332445,1920.172434216147,0.3755325349121952,0.3755325349121953
Agadir,Morocco,3,1538226.3190565945,796421.2631970991,235375.07950725433,121866.14922910322,6.5352131681773304,6.535213168177331
Agadir,Morocco,4,92310.0818405541,94065.36628630591,102549.86395048887,104499.85876705914,0.900148262362605,0.900148262362605
Agadir,Morocco,5,9045.51234817756,9830.264083306385,13936.898401720995,15146.006828317551,0.6490333851512168,0.6490333851512168
Agadir,Morocco,6,12965.165504539627,17804.81907438308,46521.8518347562,63887.58821729384,0.27868979830363133,0.2786897983036314
Agadir,Morocco,7,2754206.841449572,1044844.2260277794,465655.5763411444,176652.50588137098,5.914686694166869,5.9146866941668685
Agadir,Morocco,8,146149.84451332717,78183.31071095713,86513.75048993243,46280.798025124226,1.6893250342942256,1.6893250342942259
Agadir,Morocco,9,21681.217761991098,19555.10248400967,31417.39967050302,28336.52966738882,0.6901022360022695,0.6901022360022695
Agadir,Morocco,10,18495.031377032916,9257.03304963602,27553.00984292462,13790.683429152301,0.6712526683099299,0.6712526683099302
Agadir,Morocco,11,5223.749934879644,8569.364498088376,5515.529926951267,9048.01855628052,0.947098466342126,0.9470984663421259
Ahus,Sweden,1,4935.879132913905,6088.76413673262,8112.7005063018605,10007.60321812462,0.6084138233723488,0.6084138233723486
Ahus,Sweden,2,388.2007478446507,78.55774087012298,946.0693084820864,191.45008862954015,0.41033013582006633,0.41033013582006655
Ahus,Sweden,3,343742.57947305223,124286.764854941,11153.750843512453,4032.8539177873604,30.818563575228968,30.81856357522897
Ahus,Sweden,4,8704.290516945559,8211.701364920063,9277.471114925427,8752.444793647976,0.9382180131978265,0.9382180131978264
Ahus,Sweden,5,134.30848468722795,90.56156002542917,2575.0582664276058,1736.3109583667085,0.05215745462472775,0.05215745462472776
Ahus,Sweden,6,317.0509149741893,204.06136894747368,10574.832125175142,6806.208775737599,0.029981649942167593,0.029981649942167583
Ahus,Sweden,7,270565.17801675794,90389.51895977279,29531.18362788681,9865.680062761363,9.162016037896244,9.16201603789624
Ahus,Sweden,8,10944.584602421604,1537.4559117525253,24882.04931935571,3495.340866029489,0.4398586491791827,0.4398586491791826
Ahus,Sweden,9,1444.0428783475581,331.14704044366897,13713.243561171861,3144.7127285871957,0.1053027952071288,0.10530279520712889
Ahus,Sweden,10,709.5809363151851,71.85223769002558,9844.012939026177,996.805750153944,0.07208248716355108,0.07208248716355108
Ahus,Sweden,11,68.03566965235682,162.10361770996647,483.4023284484391,1151.7673986501127,0.14074336354714864,0.14074336354714861
Aiyion,Greece,1,867.9008810070849,3456.126541473243,14800.530905002213,58938.19076357819,0.05863984789314253,0.05863984789314253
Aiyion,Greece,2,0.43046783694419816,0.9456711117108375,171.49464339374398,376.7471484556899,0.0025100949418919364,0.002510094941891936
Aiyion,Greece,3,55903.658355860534,223166.7983494399,22772.43924808745,90907.3307019099,2.454882313960092,2.454882313960092
Aiyion,Greece,4,5062.974479039697,19148.234579953907,8237.884778072876,31155.786154207504,0.6145964183082566,0.6145964183082567
Aiyion,Greece,5,17.013218577548006,25.76059446608645,336.22447302966765,509.09486995723927,0.05060077401339789,0.05060077401339789
Aiyion,Greece,6,62.31078698157429,198.3808623772338,3737.5633012927833,11899.400839203303,0.016671500108110984,0.016671500108110984
Aiyion,Greece,7,52014.73930599283,195062.5555719637,25185.977811397413,94450.94336758356,2.0652261228648663,2.0652261228648667
Aiyion,Greece,8,296.783922752037,846.0631391237316,6781.126612195717,19331.442266511407,0.04376616744159845,0.04376616744159845
Aiyion,Greece,9,315.57909960671645,508.19542399190516,1911.8535254308147,3078.7692029591344,0.16506447560390602,0.165064475603906
Aiyion,Greece,10,32.805698532082694,73.73053421160627,1843.273884457134,4142.74270265627,0.017797517129010027,0.01779751712901003
Aiyion,Greece,11,11.65109655650512,18.38368666289847,57.47014032056857,90.67928044388752,0.20273304522166255,0.20273304522166255
Ajman,United Arab Emirates,1,83866.31576089283,12779.17366203809,26264.645863366266,4002.0891297623693,3.193125702024749,3.193125702024751
Ajman,United Arab Emirates,2,512.049962391784,78.04257143069488,406.56382816843865,61.96521615344862,1.2594577454136984,1.2594577454136981
Ajman,United Arab Emirates,3,4913.571808574681,1155.888797166961,9628.12378798593,2264.9593529595636,0.5103353380962847,0.5103353380962846
Ajman,United Arab Emirates,4,317558.0954326342,48388.10291431718,22705.926423272354,3459.8289898337375,13.985692083770438,13.985692083770441
Ajman,United Arab Emirates,5,156714.1331448867,23879.704855880445,4415.336609594395,672.7978706234395,35.49313382004705,35.493133820047056
Ajman,United Arab Emirates,6,56202.84419940197,8564.010042413107,17249.49302064026,2628.4226992353865,3.2582316553971307,3.25823165539713
Ajman,United Arab Emirates,7,46536.64077209861,11136.212114051166,23281.284111012825,5571.208274731606,1.998886339352958,1.9988863393529575
Ajman,United Arab Emirates,8,16882.050421367425,2572.4395452112635,6500.082373608235,990.464340980575,2.5972056123338167,2.597205612333816
