id,port_name,Continent_Code,country,iso3,lat,lon,handling,vessel_type_main
port956,Port Hueneme,NA,U.S.A.,USA,34.15605249221895,-119.2094451470752,0.338799285750217,Dry bulk
port963,Port Lavaca,NA,U.S.A.,USA,28.67557340174302,-96.54433241631918,0.2783664977219751,Dry bulk
port967,Port Manatee,NA,U.S.A.,USA,27.63344968924283,-82.55715768498631,0.29560876420042503,Dry bulk
port993,Portland,NA,U.S.A.,USA,45.59523874007099,-122.7355059239107,0.2783664977219751,Dry bulk
port1351,Vancouver,NA,U.S.A.,USA,45.6380227086201,-122.7274124216427,0.2783664977219751,Dry bulk
port995,"Portland, ME",NA,U.S.A.,USA,43.63649353989805,-70.26948212709436,0.2783664977219751,Dry bulk
port996,Portmouth,NA,U.S.A.,USA,43.09303064075424,-70.78807026991318,0.301383948676519,Dry bulk
port1019,Presque Isle,NA,U.S.A.,USA,46.56113915585522,-87.39431636315523,0.2783664977219751,Dry bulk
port1021,Prince Rupert,NA,U.S.A.,USA,54.26668285438812,-130.33775976075,0.2677927858200409,Dry bulk
port1024,Providence,NA,U.S.A.,USA,41.78624139025882,-71.38334181109599,0.2986758386219614,Dry bulk
port1115,Rouge River,NA,U.S.A.,USA,42.28431794823812,-83.12895688676929,0.2783664977219751,Dry bulk
port1140,San Diego,NA,U.S.A.,USA,32.68538624504669,-117.1471771542505,0.33726151191178455,Dry bulk
port1141,San Fransisco,NA,U.S.A.,USA,37.75519021550544,-122.3870813748719,0.19829810464544706,Dry bulk
port1149,Sandusky,NA,U.S.A.,USA,41.45831438845737,-82.72983384620285,0.2783664977219751,Dry bulk
port1170,Savannah,NA,U.S.A.,USA,32.10402454083771,-81.10052022006369,0.2758952972704433,Dry bulk
port1174,Searsport,NA,U.S.A.,USA,44.45613076794376,-68.90260151930103,0.2783664977219751,Dry bulk
port1175,Seattle,NA,U.S.A.,USA,47.57185014693231,-122.345761628207,0.29451780446421855,Dry bulk
port1214,South Louisiana,NA,U.S.A.,USA,30.1237952598628,-90.8678107244268,0.10236923397787397,Dry bulk
port1229,Stockton,NA,U.S.A.,USA,37.94796902742942,-121.3108828515494,0.2783664977219751,Dry bulk
port1236,Superior,NA,U.S.A.,USA,46.71928734720906,-92.09100100792195,0.2783664977219751,Dry bulk
port1241,Swanport,NA,U.S.A.,USA,61.08345855738029,-146.3836033745088,0.2783664977219751,Dry bulk
port1245,Sydney,NA,U.S.A.,USA,46.17600890802396,-60.21659641073393,0.2783664977219751,Dry bulk
port1248,Tacoma,NA,U.S.A.,USA,47.25356579630898,-122.3912123332584,0.2833872736874943,Dry bulk
port1259,Tampa,NA,U.S.A.,USA,27.89834074972568,-82.41979138966131,0.26048899839543754,Dry bulk
port1285,Texas City,NA,U.S.A.,USA,29.37581006992484,-94.91276461646224,0.29929148852799065,Dry bulk
port1306,Toledo,NA,U.S.A.,USA,41.67991899847023,-83.46756214897295,0.2783664977219751,Dry bulk
port1333,Two Harbors,NA,U.S.A.,USA,47.20061114274494,-91.39263596430041,0.2772374701152245,Dry bulk
port1394,Whittier,NA,U.S.A.,USA,60.77573778577824,-148.6797395382279,0.2783664977219751,Dry bulk
port1398,"Wilmington, DE",NA,U.S.A.,USA,39.70485674434921,-75.5216553562249,0.29954771593405827,Dry bulk
port1399,"Wilmington, NC",NA,U.S.A.,USA,34.20514712940604,-77.95014842805263,0.2942439945031759,Dry bulk
port250,Clifton,NA,Saint Vincent and the Grenadines,VCT,12.59685886813404,-61.41691224519305,0.2913268852569424,Dry bulk
port574,Kingstown,NA,Saint Vincent and the Grenadines,VCT,13.15894190146477,-61.23551139432696,0.2913268852569424,Dry bulk
port947,Port Elizabeth,NA,Saint Vincent and the Grenadines,VCT,13.01099125244094,-61.23647371861809,0.2913268852569424,Dry bulk
port1097,Retreat,NA,Saint Vincent and the Grenadines,VCT,12.70395602809677,-61.32912129220291,0.2913268852569424,Dry bulk
port1106,Road Harbor,NA,British Virgin Islands,VGB,18.42260522942446,-64.60402002131433,0.2913268852569424,Dry bulk
port233,Charlotte Amalie,NA,U.S. Virgin Islands,VIR,18.33384952631222,-64.93840481312252,0.2913268852569424,Dry bulk
port243,Christiansted,NA,U.S. Virgin Islands,VIR,17.74693339146698,-64.69837050358727,0.2913268852569424,Dry bulk
port649,Limetree Bay,NA,U.S. Virgin Islands,VIR,17.70567396051575,-64.75672294978173,0.2913268852569424,Dry bulk
port656,Lobito,AF,Angola,AGO,-12.34349429041626,13.56555782656885,0.30232354953903595,Dry bulk
port665,Luanda,AF,Angola,AGO,-8.781235498997976,13.28810369227024,0.30232354953903595,Dry bulk
port691,Malongo,AF,Angola,AGO,-5.393136309898652,12.20437817317876,0.30232354953903595,Dry bulk
port788,Namibe,AF,Angola,AGO,-15.15855925979193,12.13506095180096,0.30232354953903595,Dry bulk
port1217,Soyo Angola LNG Terminal,AF,Angola,AGO,-6.122821698043862,12.33723743965501,0.30232354953903595,Dry bulk
port265,Cotonou,AF,Benin,BEN,6.345724287103881,2.422923872339855,0.3217179409689841,Dry bulk
port4,Abidjan,AF,Cote d'Ivoire,CIV,5.283956222532622,-4.010908317124335,0.27900734852480413,Dry bulk
port1146,San Pedro,AF,Cote d'Ivoire,CIV,4.744742838226502,-6.618654452442724,0.33798117761803737,Dry bulk
